ID Aluno;Tempo Revisão;Nota;Ansiedade;Gênero
1;4;40;86,3;Masculino
2;11;65;88,72;Feminino
3;27;80;70,18;Masculino
4;53;80;61,31;Masculino
5;4;40;89,52;Masculino
6;22;70;60,51;Feminino
7;16;20;81,46;Feminino
8;21;55;75,82;Feminino
9;25;50;69,37;Feminino
10;18;40;82,27;Feminino
11;18;45;79,04;Masculino
12;16;85;80,66;Masculino
13;13;70;70,18;Masculino
14;18;50;75,01;Feminino
15;98;95;34,71;Masculino
16;1;70;95,16;Masculino
17;14;95;75,82;Masculino
18;29;95;79,04;Feminino
19;4;50;91,13;Feminino
20;23;60;64,54;Masculino
21;14;80;80,66;Masculino
22;12;75;77,43;Masculino
23;22;85;65,34;Feminino
24;84;90;0,06;Feminino
25;23;30;71,79;Feminino
26;26;60;81,46;Feminino
27;24;75;63,73;Masculino
28;72;75;27,46;Feminino
29;37;27;73,4;Feminino
30;10;20;89,52;Masculino
31;3;75;89,52;Feminino
32;36;90;75,01;Feminino
33;43;60;43,58;Masculino
34;19;30;82,27;Masculino
35;12;80;79,04;Masculino
36;9;10;79,04;Feminino
37;72;85;37,13;Masculino
38;10;7;81,46;Masculino
39;12;5;83,07;Feminino
40;30;85;50,83;Masculino
41;15;20;82,27;Masculino
42;8;45;78,24;Feminino
43;34;60;72,6;Masculino
44;22;70;74,21;Feminino
45;21;50;75,82;Feminino
46;27;25;70,98;Masculino
47;6;50;97,58;Masculino
48;18;40;67,76;Masculino
49;8;80;75,01;Masculino
50;19;50;73,4;Feminino
51;0;35;93,55;Feminino
52;52;80;58,89;Feminino
53;38;50;53,25;Feminino
54;19;49;84,69;Masculino
55;23;75;89,52;Feminino
56;11;25;71,79;Feminino
57;27;65;82,27;Masculino
58;17;80;69,37;Masculino
59;13;50;62,12;Masculino
60;42;70;68,57;Feminino
61;4;40;93,55;Masculino
62;8;80;84,69;Feminino
63;6;10;82,27;Masculino
64;11;20;81,46;Feminino
65;7;40;82,27;Masculino
66;15;40;91,13;Masculino
67;4;70;91,94;Feminino
68;28;52;86,3;Feminino
69;22;50;72,6;Masculino
70;29;60;63,73;Feminino
71;2;80;63,73;Masculino
72;16;60;71,79;Feminino
73;59;65;57,28;Masculino
74;10;15;84,69;Feminino
75;13;85;84,69;Masculino
76;8;20;77,43;Feminino
77;5;80;82,27;Feminino
78;2;100;10;Masculino
79;38;100;50,83;Feminino
80;4;80;87,91;Masculino
81;10;10;83,88;Masculino
82;6;70;84,69;Feminino
83;68;100;20,21;Feminino
84;8;70;87,1;Masculino
85;1;70;83,88;Feminino
86;14;65;67,76;Masculino
87;42;75;95,97;Feminino
88;13;85;62,12;Feminino
89;1;30;84,69;Masculino
90;3;5;92,75;Masculino
91;5;10;84,69;Feminino
92;12;90;83,07;Feminino
93;19;70;73,4;Masculino
94;2;20;87,91;Feminino
95;19;85;71,79;Masculino
96;11;35;86,3;Masculino
97;15;30;84,69;Feminino
98;23;70;75,82;Masculino
99;13;55;70,98;Feminino
100;14;75;78,24;Feminino
101;1;2;82,27;Masculino
102;9;40;79,04;Masculino
103;20;50;91,13;Feminino
