Genero;Alcool;Memoria;Latencia
Masculino;4 Canecas;20;2,1
Feminino;4 Canecas;50;5,2
Feminino;4 Canecas;55;5
Masculino;4 Canecas;30;3,8
Masculino;2 Canecas;85;2,9
Masculino;4 Canecas;30;3
Masculino;4 Canecas;30;3,1
Feminino;4 Canecas;65;4,2
Feminino;2 Canecas;70;3,9
Masculino;4 Canecas;35;2,9
Masculino;2 Canecas;80;1,7
Feminino;2 Canecas;65;4
Masculino;4 Canecas;40;3,8
Masculino;Nenhum;80;2
Masculino;Nenhum;75;1,4
Masculino;4 Canecas;45;4
Masculino;Nenhum;50;1,5
Feminino;4 Canecas;70;3,5
Masculino;Nenhum;75;1,7
Feminino;2 Canecas;65;3,7
Feminino;Nenhum;60;1,4
Feminino;2 Canecas;60;1,4
Masculino;Nenhum;70;1,6
Feminino;Nenhum;60;1,5
Feminino;Nenhum;55;1,6
Feminino;4 Canecas;55;3,7
Masculino;Nenhum;65;1,6
Masculino;2 Canecas;70;1,8
Masculino;2 Canecas;45;2,5
Feminino;Nenhum;70;3
Feminino;2 Canecas;70;2,8
Feminino;4 Canecas;50;2,1
Feminino;Nenhum;60;1,8
Feminino;4 Canecas;60;1,8
Masculino;2 Canecas;70;2,5
Masculino;Nenhum;65;3,1
Masculino;Nenhum;55;2
Feminino;2 Canecas;50;3,2
Masculino;2 Canecas;60;1,9
Masculino;2 Canecas;65;2,1
Masculino;4 Canecas;55;3,2
Feminino;Nenhum;55;2,2
Feminino;2 Canecas;60;2,1
Feminino;Nenhum;65;2,5
Feminino;4 Canecas;55;2,3
Feminino;Nenhum;60;2,3
Masculino;2 Canecas;60;2,3
Feminino;2 Canecas;60;2,5
