ID;Professor1;Professor2;Professor3;Professor4
1;6,2;6,4;6,1;5,8
2;7,8;7,3;7,5;7
3;8,1;7,5;6,9;6,5
4;9;8,3;7,9;7,2
5;6;5,2;5,4;4,8
6;3,5;2,8;3;2
7;4,3;4;4,9;3,5
8;8,5;8;8;7,4
9;2,4;2,5;2,2;1,5
10;9,4;9;8,9;8,5
11;8,3;7,8;8;7,4
12;7;7,4;7,5;8,1
13;2,9;3,4;3;3,5
14;6;5,8;5,6;5,4
15;6,8;7;6,6;6
16;6,2;5,8;6,3;6,4
17;6,3;6;6,8;6,5
18;6,5;6,1;7,2;6,5
19;6,8;6,4;5,8;6,1
20;6,9;6,5;5,4;5,9
21;7,1;6,7;6,5;5
22;7,8;6,6;6,7;5
23;7,5;7,3;7,5;4,5
24;5,4;5,5;5,2;5
25;6,1;5;4,8;4,2
26;3,7;3;3,4;2,8
27;2,8;3,5;3,5;1,9
28;7,8;6,6;6,7;5
29;7,5;7,3;7,5;4,5
30;9;8,3;7,9;7,2
