Sujeito;Gênero;Grau_Instrução;n_Filhos;Idade;Salário
1;M;Superior;1;31;8,2
2;F;Superior;0;25;5,3
3;M;Superior;0;33;9,4
4;M;Ens Fundamental;0;20;2,9
5;F;Ensino Médio;0;23;3,7
6;F;Superior;2;37;4,4
7;M;Ens Fundamental;0;38;4,7
8;M;Superior;0;37;5,4
9;M;Superior;1;34;5,8
10;M;Ensino Médio;2;40;3,2
11;F;Superior;0;41;6
12;F;Ensino Médio;3;46;6,9
13;F;Ensino Médio;0;26;2
14;F;Ensino Médio;0;41;3,4
15;F;Ensino Médio;1;43;3,7
16;M;Superior;1;27;4,2
17;M;Superior;0;26;6,4
18;M;Superior;0;42;11,6
19;F;Ensino Médio;2;43;8,6
20;M;Ensino Médio;2;30;5,5
21;M;Ens Fundamental;2;35;6,8
22;F;Ens Fundamental;0;33;4,1
23;F;Ensino Médio;0;30;4,6
24;F;Superior;2;32;6,6
25;M;Ensino Médio;4;29;7,3
26;F;Ens Fundamental;1;40;7,3
27;F;Superior;1;36;8,3
28;M;Ens Fundamental;0;34;3,8
29;M;Superior;0;31;6,2
30;F;Superior;1;35;8
